REPORTING_YEAR,FACILITY_NAME,GHGRP_ID,REPORTED_ADDRESS,lat,long,CITY_NAME,COUNTY_NAME,STATE,ZIP_CODE,PARENT_COMPANIES,ghg_quantity,SUBPARTS
2011,WAUNA MILL,1008042,92326 TAYLORVILLE ROAD,46.157035,-123.407836,CLATSKANIE,COLUMBIA,OR,97016,KOCH INDUSTRIES INC (100%),268796,"AA,C,TT"
2011,BIG WEST OIL LLC,1009068,333 WEST CENTER STREET,40.838386,-111.921443,NORTH SALT LAKE,DAVIS,UT,84054,FJ MANAGEMENT (100%),268039,"C,Y"
2011,Permian Basin - AAPG Province 430,1008449,1201 Lake Robbins Drive,30.16115,-95.45389,The Woodlands,MONTGOMERY COUNTY,TX,77380,ANADARKO PETROLEUM CORP (100%),267951,W
2011,Wheelabrator Bridgeport L.P.,1004283,6 HOWARD AVE,41.162404,-73.208494,BRIDGEPORT,FAIRFIELD,CT,6605,WASTE MANAGEMENT INC (100%),267775,C
2011,WHEELABRATOR BALTIMORE LP,1004094,1801 OLD ANNAPOLIS ROAD,39.26994,-76.63041,BALTIMORE,BALTIMORE CITY,MD,21230,WASTE MANAGEMENT INC (100%),267693,C
2011,Jackson Madison County LF,1007711,550 Aaron Long Road,35.58951,-88.876253,Jackson,MADISON,TN,38301,"Republic Services, Inc. (100%)",267466,HH
2011,Endeavor Energy Resources LP 430 Permian Basin,1011659,"100 Marienfield St., Ste. 200",31.99742,-102.0793,Midland,MIDLAND COUNTY,TX,79701,Endeavor Energy Resources LP (100%),266466,W
2011,SHINTECH LOUISIANA LLC - ADDIS PLANT A,1004767,9750 LA Highway 1 South,30.325882,-91.261732,ADDIS,WEST BATON ROUGE,LA,70710,"C-K TECH, INC (100%)",266235,C
2011,MagRetech LLC,1010145,301 Count Road 177,41.26666,-82.84999,Bellevue,HURON,OH,44811,"Magnesium Refining Technologies, Inc. (100%)",266072,"C,T"
2011,Waha Gas Plant,1004827,1146 South County Road 101,31.159975,-103.104845,Coyanosa,PECOS,TX,79730,Enterprise Products Operating LLC (100%),265826,"C,PP,UU,W"
2011,The University of NC Chapel Hill,1000234,501 CAMERON AVE,35.9069,-79.0617,CHAPEL HILL,Orange,NC,27599,The State of North Carolina (100%),265696,C
2011,Lewis Energy Group,1009588,10101 Reunion Place,29.5516834,-98.4952228,San Antonio,,TX,78216,"Lewis Energy Group, L.P. (100%)",265487,W
2011,59th Street,1000766,850 12TH AVE,40.7711,-73.9911,NEW YORK,New York,NY,10019,CONSOLIDATED EDISON INC (100%),265416,C
2011,Sabine Oil & Gas LLC 260 East Texas Basin,1009584,"1415 Louisiana, Suite 1600",29.75507,-95.37031,Houston,HARRIS COUNTY,TX,77002,NFR Energy LLC (100%),265361,W
2011,"Emery Oleochemicals, LLC",1007325,4900 ESTE AVENUE,39.1792,-84.5053,CINCINNATI,Hamilton,OH,45232,EMERY OLEOCHEMICALS LLC (100%),265334,C
2011,THE BROOKLYN UNION GAS COMPANY,1002482,One MetroTech Center,40.69259,-73.987265,Brooklyn,KINGS,NY,11201,KEYSPAN ENERGY CORPORATION (100%),264418,"NN,W"
2011,AGP SOY/CORN PROCESSING,1002067,2801 E 7TH ST,40.58971,-98.33963,HASTINGS,ADAMS COUNTY,NE,68901,AG PROCESSING INC (100%),264320,"C,II"
2011,LAFARGE NA WHITEHALL PLANT,1005639,5160 MAIN ST.,40.687646,-75.506305,WHITEHALL,LEHIGH,PA,18052,LAFARGE NORTH AMERICA INC (100%),264294,"C,H"
2011,Merck & Company - West Point,1001262,770 SUMNEY TOWN PIKE,40.2128,-75.3022,WEST POINT,Montgomery,PA,19486,MERCK & CO INC (100%),264272,C
2011,PACKAGING CORPORATION OF AMERICA-TOMAHAWK,1003884,N9090 COUNTY ROAD E,45.450849,-89.740303,TOMAHAWK,LINCOLN,WI,54487,Packaging Corporation of America (100%),263655,"AA,C,II,TT"
2011,INEOS NOVA LLC BAYPORT SITE,1003451,12222 PORT RD.,29.598883,-95.013606,PASADENA,HARRIS,TX,77507,"Styrolution America, LLC (100%)",263086,C
